SAMPLE_ID,MTERFD2,KCNK5,AP3M2,PODXL2,ZNF683,SNRPD3,HAPLN3,NMI,ST7L,HIST1H2BC,C10orf35,BBS2,FAM98A,UFD1L,USF1,PLEKHG3,APOL3,ORC6L,MTAP,DBF4,HIST1H2BN,RNF148,KIF24,CLASS
TCGA-DK-A6B2-01,0.199017882,0.112851308,0.061212746,0.258102419,0.016078423,0.005332534,0.169059111,0.343301168,0.156738962,0.016085521,0.468845843,0.419423885,0.207121618,0.054484799,0.175892439,0.238272702,0.140147446,0.382690405,0.069614348,0.080275142,0.039986526,0.007009416,0.070065107,1
TCGA-DK-A6B5-01,0.085713778,0.129395836,0.105743699,0.383147516,0.012225064,0.029715345,0.09446503,0.685046489,0.238230923,0.562637736,0.660401966,0.539781561,0.182881763,0.089442835,0.029574715,0.112050408,0.071156046,0.193942624,0.001990583,0.237463244,0.121961105,0.028293739,0.080884681,1
TCGA-DK-A6B6-01,0.117216245,0.097075886,0.157163984,0.15489178,0.059095958,0.064112571,0.040840674,0.460633164,0.177019542,0.018452797,0.10991956,0.453458371,0.421265881,0.075612664,0.047958462,0.066145238,0.358828924,0.101379413,0.094975132,0.235075317,0.018898603,0.009938375,0.069397962,2
TCGA-DK-AA6L-01,0.13146455,0.27951484,0.393220085,0.390628875,0.013014888,0.039992079,0.048290992,0.350871343,0.409864136,0.035502077,0.283861392,0.281832137,0.156446699,0.087971481,0.107914655,0.251004325,0.127647094,0.086195103,0.141882126,0.207853107,0.041466054,0.026164805,0.118984445,2
TCGA-DK-AA6M-01,0.236839276,0.172966736,0.140276675,0.012304486,0.042993417,0.086583282,0.115382173,0.302349234,0.107223517,0.12530638,0.054083914,0.29294232,0.107880223,0.114865298,0.074384787,0.253784632,0.061169012,0.182280572,0.113671919,0.265716802,0.082293932,0.067730911,0.161210925,1
TCGA-DK-AA6P-01,0.172797895,0.213062866,0.103695109,0.369333525,0.000210056,0.105047198,0.015819385,0.223695746,0.191699135,0.058103054,0.302907739,0.158968892,0.35453036,0.038759254,0.150713329,0.021690233,0.008787136,0.142323872,0.047044358,0.325620135,0.071737239,0,0.128866231,1
TCGA-DK-AA6Q-01,0.272346855,0.06339503,0.395665734,0.047734907,0.052918788,0.147575028,0.088106111,0.316515085,0.225784101,0.084628964,0.502289429,0.306218525,0.112725302,0.143022947,0.036966808,0.245583131,0.078968242,0.522905781,0.049804318,0.252426951,0.052541033,0,0.167708489,1
TCGA-DK-AA6R-01,0.253999656,0.068241475,0.304200515,0.075605109,0.012800508,0.250361653,0.0701466,0.359629575,0.181365736,0.155637715,0.349163155,0.327974366,0.157975826,0.249521342,0.037264267,0.419445256,0.105881139,0.236987614,0.400327893,0.299721106,0.020240205,0.00798183,0.206016085,2
TCGA-DK-AA6S-01,0.212870042,0.146440652,0.150182581,0.48042904,0.009969545,0.025255922,0.670077733,0.334284378,0.118465273,0.006060957,0.236720808,0.25498987,0.308448317,0.097038913,0.050438549,0.103255465,0.117365242,0.155497037,0.056447644,0.243276013,0.009898359,0.072869141,0.055982438,2
TCGA-DK-AA6T-01,0.605848079,0.003009977,0.040566125,0.014493247,0.006040252,0.541558921,0.027202019,0.130666535,0.105628918,0.014753409,0.022821563,0.272624471,0.508056187,0.275444851,0.218723576,0.006382986,0.044753302,0.427617645,0.055866225,0.852056667,0.033769217,0,0.393035458,1
